simulation,mean_words,question_percent
683,78.78222222222222,35.55555555555556
684,78.01333333333334,34.22222222222222
685,50.44444444444444,31.11111111111111
686,113.10666666666667,36.888888888888886
687,159.2,32.88888888888889
688,88.11555555555556,32.44444444444444
689,212.36444444444444,26.666666666666668
690,46.217777777777776,28.000000000000004
691,111.40444444444445,28.444444444444443
692,147.32888888888888,31.555555555555554
693,78.78222222222222,32
694,38.12444444444444,34.22222222222222
695,155.7511111111111,32.44444444444444
696,39.8,30.22222222222222
697,52.28888888888889,31.11111111111111
698,114.13333333333334,33.33333333333333
699,106.25333333333333,28.888888888888886
700,78.56888888888889,29.333333333333332
701,154.04888888888888,35.11111111111111
702,79.99111111111111,30.666666666666664
703,148.34222222222223,31.555555555555554
704,117.68,33.77777777777778
705,148.03555555555556,33.33333333333333
706,44.82666666666667,32.88888888888889
707,125.4888888888889,28.888888888888886
708,182.62666666666667,30.666666666666664
709,122.36444444444444,32.44444444444444
710,87.99555555555555,32
711,118.97777777777777,31.11111111111111
712,78.96444444444444,33.33333333333333
713,84.31111111111112,31.11111111111111
714,115.61777777777777,25.333333333333336
715,117.63111111111111,39.111111111111114
716,48.06666666666667,35.11111111111111
717,78.30222222222223,34.66666666666667
718,90.75555555555556,30.666666666666664
719,43.49333333333333,29.777777777777775
720,81.98666666666666,31.555555555555554
721,45.82222222222222,33.33333333333333
722,75.80444444444444,32
723,80.16,38.22222222222222
724,81.78222222222222,28.888888888888886
725,48.52,32.88888888888889
726,43.41777777777778,29.333333333333332
727,81.1288888888889,31.11111111111111
728,122.49333333333334,30.666666666666664
729,50.51555555555556,32
730,85.69777777777777,28.888888888888886
731,80.45777777777778,32.44444444444444
732,84.44444444444444,36.888888888888886
733,75.02666666666667,37.77777777777778
734,86.34666666666666,30.22222222222222
735,53.36,32.44444444444444
736,50.324444444444445,31.11111111111111
737,88.55111111111111,32.88888888888889
738,83.68,32.44444444444444
739,45.71111111111111,36
740,49.111111111111114,31.11111111111111
741,77.22222222222223,31.11111111111111
742,87.55111111111111,29.777777777777775
743,89.13777777777777,30.22222222222222
744,118.76,35.55555555555556
745,45.17777777777778,30.22222222222222
746,49.888888888888886,30.22222222222222
747,44.24888888888889,30.666666666666664
748,47.59111111111111,32.44444444444444
749,56.72,31.11111111111111
750,77.59555555555555,26.666666666666668
751,85.95555555555555,30.666666666666664
752,113.26222222222222,32.88888888888889
753,52.84888888888889,30.666666666666664
754,146.39555555555555,32.88888888888889
755,48.18222222222222,37.77777777777778
756,45.46666666666667,28.888888888888886
757,43.82666666666667,33.77777777777778
758,43.92444444444445,32.44444444444444
759,131.0222222222222,36.44444444444444
760,47.946666666666665,33.33333333333333
761,44.355555555555554,29.333333333333332
762,41.50222222222222,32
763,179.85333333333332,27.111111111111114
764,40.111111111111114,38.22222222222222
765,42.333333333333336,33.77777777777778
766,82.40444444444445,34.66666666666667
767,117.29777777777778,32.44444444444444
768,77.08444444444444,34.66666666666667
769,151.92,31.555555555555554
770,39.63111111111111,36.44444444444444
771,187.57333333333332,33.33333333333333
772,50.217777777777776,31.555555555555554
773,88.34666666666666,30.666666666666664
774,80.04,36.888888888888886
775,35.92444444444445,33.33333333333333
776,112.68,33.33333333333333
777,116.37333333333333,35.11111111111111
778,85.77777777777777,31.11111111111111
779,86.93333333333334,31.555555555555554
780,117.26666666666667,31.555555555555554
781,87.66666666666667,28.888888888888886
782,80.92444444444445,31.555555555555554
783,51.07555555555555,36.44444444444444
784,124.62666666666667,32.44444444444444
785,89.60444444444444,31.555555555555554
786,47.102222222222224,35.11111111111111
787,45.373333333333335,35.55555555555556
788,89.71555555555555,31.555555555555554
789,84.38222222222223,31.555555555555554
790,80.09777777777778,23.555555555555554
791,46.26222222222222,30.666666666666664
792,62.91111111111111,28.000000000000004
793,110.51555555555555,30.666666666666664
794,87.93777777777778,35.55555555555556
795,56.044444444444444,34.22222222222222
796,125.64,32.44444444444444
797,150.15555555555557,28.888888888888886
798,48.586666666666666,33.33333333333333
799,89.24888888888889,28.888888888888886
800,51.84,31.555555555555554
801,152.65777777777777,29.333333333333332
802,150.01333333333332,34.22222222222222
803,89.1511111111111,27.555555555555557
804,179.70222222222222,28.444444444444443
805,76.48,28.888888888888886
806,78.69777777777777,29.333333333333332
807,111.19555555555556,32.88888888888889
808,79.31555555555556,32
809,120.10222222222222,30.666666666666664
810,45.52,36.44444444444444
811,111.74222222222222,26.666666666666668
812,45.8,34.22222222222222
813,75.61777777777777,39.111111111111114
814,47.96888888888889,36.888888888888886
815,79.72444444444444,29.777777777777775
816,109.16444444444444,32.44444444444444
817,44.16444444444444,33.33333333333333
818,81.66666666666667,28.888888888888886
819,79.11111111111111,29.333333333333332
