speaker,text,words,contains_question
JUSTICE JACKSON,"All right.   And so -- but -- but somehow you're saying that having exercised jurisdiction over this matter from day one at your request, Justice Thomas reminds us, the only way it gets resolved from the purpose -- from the standpoint of wrapping this up is if the parties are just coming back to notify that another court has been engaged to do some sort of confirmation.      Or you're saying the confirmation doesn't have to happen at all?",78,TRUE
MR. UNIKOWSKY,"It doesn't have to happen at all.    There's, like, a four-year statute of limitations at least in California on the confirmation proceedings.      The court's not just going to sit there for four years to wait if -- to -- to see whether someone's going to try --",47,FALSE
JUSTICE JACKSON,"But, if the parties want it to happen --",9,FALSE
JUSTICE JACKSON,-- you're saying they cannot ask the court that took original jurisdiction over it to be the one to confirm.,20,FALSE
MR. UNIKOWSKY,"Right.   That's correct.    They should go to the state court, and the court is free to stay the dismissal of the case if it knows that there is ongoing confirmation or vacatur proceedings in another court and so -- but all the court cannot do is transform what is fundamentally a breach-of- contract suit into a judgment.",57,FALSE
JUSTICE BARRETT,"Mr. Unikowsky, why wouldn't there be ancillary -- ancillary enforcement jurisdiction to be specific of the -- of the kind that was -- that the Court talked about in Kokkonen? It seems to me that if the parties come back, you know, Kokkonen envisioned a situation in which the district court could, under 41, make it part of the terms of the settlement agreement that the district court could retain authority to enforce the agreement and that that wouldn't have been a problem. There would be no separate basis of jurisdiction there, right?    It's a distinct action, it's a contract action in essence that's distinct from the underlying suit, wouldn't be 1331 or 1332, for example.     Why couldn't something like that theory apply here?",124,TRUE
MR. UNIKOWSKY,"So, first of all, that's not Respondents' argument, and that's not what the Court did in this case.      The Section 3 order did not purport to retain jurisdiction to confirm a follow-up arbitration award.   It just said pursuant to Section 3 that the case will be stayed until arbitration has been had. I also don't think a court could do that.    I don't think a court could circumvent the limitations under Section 3 by entering an order that's broader than Section 3, especially given that you have Section 8, which explicitly authorizes the retention of jurisdiction in maritime cases, and Section 9 does not have similar language. I also think that a court doesn't have unlimited authority to retain jurisdiction under Rule 41.    I think the analysis is somewhat similar to the analysis in cases involving consent decrees like -- so, in certain cases, a court can take a settlement and embody it in a judgment, but the court can't just rubber-stamp it. The court has to make an independent assessment of things like whether or not the settlement advances the objectives underlying the statute, and only then can it really give the settlement the imprimatur of the court's authority. And so we think that, you know, a similar analysis would have to happen here, except it can't because, in an arbitration award, the court really isn't considering on its own the viability of the award.       It's just assessing whether the arbitrator exceeded its powers. So, in a nutshell, I don't think the court did that in the Section 3 stay.       I don't think the court could have done that either in the Section 3 stay.",276,FALSE
JUSTICE KAVANAUGH,"When it comes back, if the case were a federal question case to begin with and it comes back, there's no federal question, therefore, it goes to state court, correct?",30,TRUE
MR. UNIKOWSKY,So what happens is the court -- yes.    So there was a federal question at the outset.,17,FALSE
JUSTICE KAVANAUGH,Right.,1,FALSE
